,restaurant_name,avg_review_score,minimum_order_value,delivery_fee,pricyness,avg_delivery_time_clean,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
20,Steel Vintage Bikes Café Wilhemstr.,9.2,,,1.0,,cafes,Wilhelmstraße 91,10117,Berlin,52.5126941,13.3822101,wolt
21,auf die Hand - Friedrichstrasse,7.6,10.0,1.9,1.0,,european,Friedrichstraße 63,10117,Berlin,52.51169119999999,13.3898889,wolt
22,Frittenwerk Berlin Friedrichstraße,8.6,10.0,1.9,1.0,,american,Friedrichstraße 69,10117,Berlin,52.51263669999999,13.3896904,wolt
23,SUPERFOODS & ORGANIC LIQUIDS Mitte,6.8,10.0,1.9,2.0,,healthy,Friedrichstraße 63,10117,Berlin,52.5117086966474,13.389806035124268,wolt
24,beets&roots Dorotheenstr.,8.8,10.0,1.9,2.0,,poke,Dorotheenstrasse 83,10117,Berlin,52.51829252138391,13.383897236769467,wolt
25,Jinbu Sushi,8.4,10.0,1.9,2.0,,asian,Bertolt-Brecht-Platz 2,10117,Berlin,52.52243060340517,13.386233377523824,wolt
26,Cowei,8.6,10.0,1.9,1.0,,asian,James-Simon-Park 152,10178,Berlin,52.5222596,13.3996438,wolt
27,Van Long,8.4,10.0,1.9,2.0,,asian,Reinhardtstraße 8,10117,Berlin,52.52379697423213,13.386434408597848,wolt
28,Burgerwood,7.6,10.0,1.9,1.0,,american,Reinhardtstraße 47,10117, Berlin,52.52213430971234,13.378588283074198,wolt
29,Go!Fish - Spandauer Strasse,7.0,10.0,1.9,1.0,,seafood,This is a virtual venue,10178,Berlin,52.5206084,13.404795,wolt
30,Miu Lunch,,10.0,1.9,1.0,,asian,Reinhardtstraße 47 A,10117,Berlin,52.5221767,13.3781882,wolt
31,Army Food,,10.0,1.9,1.0,,healthy,Mauerstraße 1,10117,Berlin,52.510943,13.3870163,wolt
32,Sons of Mana x Royals & Rice,9.0,10.0,1.9,2.0,,poke,Friedrichstraße 67,10117,Berlin,52.51261539999999,13.3905721,wolt
33,Hopfingerbräu am Brandenburger Tor,,10.0,1.9,2.0,,european,Ebertstraße 24,10117,Berlin,52.5172234,13.377556,wolt
34,Five Rivers,8.8,10.0,1.9,2.0,,asian,Albrechtstraße 11,10117,Berlin,52.5214627,13.3848372,wolt
35,Dunkin’ Donuts Friedrichsstraße,,10.0,1.9,2.0,,breakfast/dessert,Bhf. Friedrichstr Bahnhof Friedrichstraße,1011,  Berlin,52.52052444659835,13.386710500133292,wolt
