restaurant_name,pricyness,delivery_fee,street,city_name,latitude,longitude,coordinates,link,database
MedEATerranean Trip,2,2.90,Gabriel-Max-Straße 19,berlin,52.510140178142294,13.458004633135868,"52.510140178142294,13.458004633135868",https://wolt.com/en/deu/berlin/restaurant/medeaterranean-trip,wolt
Mutzenbacher ,2,2.90,Libauer Straße 11,berlin,52.50852824964608,13.452686024703839,"52.50852824964608,13.452686024703839",https://wolt.com/en/deu/berlin/restaurant/josefine-mutzenbacher-der-schnitzelpuff,wolt
Anh Ba,2,2.90,Weserstraße 6,berlin,52.48818,13.4275299,"52.48818,13.4275299",https://wolt.com/en/deu/berlin/restaurant/anh-ba,wolt
Kala,2,2.90,Warschauer Str. 71,berlin,52.51187220000001,13.4528024,"52.51187220000001,13.4528024",https://wolt.com/en/deu/berlin/restaurant/cafe-kala-berlin,wolt
Kinnaree Thai,3,2.90,Südstern 14,berlin,52.4886366,13.4071974,"52.4886366,13.4071974",https://wolt.com/en/deu/berlin/restaurant/kinnaree-thai,wolt
Mikoto Sushi - Kreuzberg,3,2.90,Skalitzer Str. 73,berlin,52.50123,13.44121,"52.50123,13.44121",https://wolt.com/en/deu/berlin/restaurant/mikoto-sushi-kreuzberg,wolt
Kamiko,2,2.90,Bergmannstraße 89,berlin,52.48938339999999,13.3931962,"52.48938339999999,13.3931962",https://wolt.com/en/deu/berlin/restaurant/kamiko,wolt
Batho Restaurant,2,2.90,Gabriel-Max-Straße 16,berlin,52.51099749999998,13.458387579762332,"52.51099749999998,13.458387579762332",https://wolt.com/en/deu/berlin/restaurant/batho-restaurant,wolt
VEG'D - Vegan Burger,2,2.90,Boxhagener Str. 21,berlin,52.5131126,13.4562244,"52.5131126,13.4562244",https://wolt.com/en/deu/berlin/restaurant/vegd,wolt
VietBowl Karl-Marx-Str.,3,2.90,Karl-Marx-Str. 9,berlin,52.4858574,13.4260281,"52.4858574,13.4260281",https://wolt.com/en/deu/berlin/restaurant/vietbowl-karl-marx-str,wolt
Trattoria & Bar Lambretta,3,2.90,Simon-Dach-Straße 32,berlin,52.50918679999999,13.4561972,"52.50918679999999,13.4561972",https://wolt.com/en/deu/berlin/restaurant/trattoria-bar-lambretta,wolt
Parma di Vinibenedetti,2,2.90,Wrangelstraße 90,berlin,52.499531423175696,13.43996087116479,"52.499531423175696,13.43996087116479",https://wolt.com/en/deu/berlin/restaurant/parma-di-vinibenedetti,wolt
Yo! Pho,2,2.90,Falckensteinstraße 42,berlin,52.499435,13.4434706,"52.499435,13.4434706",https://wolt.com/en/deu/berlin/restaurant/yo-pho,wolt
RIVO,2,2.90,May-Ayim-Ufer 9,berlin,52.50206936686851,13.443121450910345,"52.50206936686851,13.443121450910345",https://wolt.com/en/deu/berlin/restaurant/rivo,wolt
Akkawy,2,2.90,Kopernikusstraße 8,berlin,52.5103021,13.4526051,"52.5103021,13.4526051",https://wolt.com/en/deu/berlin/restaurant/akkawy,wolt
Elfida Mezze-Tapas Restaurant,2,2.90,Gabriel-Max-Straße 15,berlin,52.511258811545986,13.458555608597651,"52.511258811545986,13.458555608597651",https://wolt.com/en/deu/berlin/restaurant/elfida-mezze-tapas-restaurant,wolt
