,restaurant_name,avg_review_score,reviews,minimum_order_value,delivery_fee,pricyness,avg_delivery_time,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
169,Saray,7.8,96,10.0,2.99,826,40,middle eastern,Müllerstraße 41a,10115,Berlin,52.5503867,13.352796,lieferando
170,CholoSoy Peruanischer Imbiss,7.6,12,10.0,2.99,867,40,american,Seestraße 13 A,10115,Berlin,52.5444684,13.3424207,lieferando
171,L'Osteria,6.0,209,10.0,0.0,1188,35,italian,Hilda-Geiringer-Weg 4,10115,Berlin,52.5268643,13.3724638,lieferando
172,Pizza Palast,8.0,148,10.0,2.99,910,40,italian,Alt-Moabit 106,10115,Berlin,52.5245406,13.3487635,lieferando
173,Agra - Pak. & Indian Cuisine,8.4,252,10.0,2.99,1067,40,indian,Alt-Moabit 107,10115,Berlin,52.5244233,13.3490412,lieferando
174,Adora Döner Kumru,8.2,70,10.0,2.99,0,40,vegetarian or vegan,Seestraße 44,10115,Berlin,52.5501276,13.3521188,lieferando
175,Agri Bistro,7.6,14,10.0,2.99,813,40,italian,Wilsnacker Strasse 9,10115,Berlin,52.52691,13.3518354,lieferando
176,Viet & My,8.2,23,10.0,2.99,771,40,vegetarian or vegan,Turmstraße 6,10115,Berlin,52.52674,13.35273,lieferando
177,Kaffee mit Zucker,9.0,12,10.0,1.99,0,35,,Perleberger Straße 65,10115,Berlin,52.5355451,13.3570218,lieferando
178,Ben & Jerry's und Magnum,7.8,13,10.0,1.99,1202,35,breakfast/dessert,Perleberger Straße 4,10115,Berlin,52.535395,13.3558204,lieferando
179,Cavolo Nero,0.0,0,10.0,1.99,1375,30,vegetarian or vegan,Brunnenstraße 158,10115,Berlin,52.53523,13.39758,lieferando
180,Balli Holzkohlegrill Restaurant,8.4,1305,35.0,0.0,1165,40,american,Sonnenallee 132,10115,Berlin,52.4797755,13.4434485,lieferando
181,Ristorante Porta Nova,7.4,58,10.0,1.99,1351,40,italian,Robert-Koch-Platz 12,10115,Berlin,52.5284163,13.3789203,lieferando
182,Dar 4 - Sudanesische Spezialitäten,9.0,257,10.0,2.99,775,40,middle eastern,Reinickendorfer Straße 95,10115,Berlin,52.5476784,13.3688599,lieferando
183,Lokman,7.8,113,10.0,1.99,795,40,italian,Reinickendorfer Str. 7,10115,Berlin,52.5413107,13.3702582,lieferando
184,Baklavaci Antepliogullari,9.2,43,10.0,2.99,0,35,middle eastern,Badstraße 57,10115,Berlin,52.5515156,13.3825706,lieferando
185,Sunay Inegöl Köfteci,9.0,48,10.0,2.99,1050,40,american,Schulstr. 115,10115,Berlin,52.5502599,13.3647015,lieferando
186,Köylüoglu Restaurant,9.2,127,10.0,2.99,0,35,mexican,Prinzenallee 18,10115,Berlin,52.55483,13.38401,lieferando
187,Restaurant Neumann's,7.0,41,10.0,2.99,1048,40,indian,Alt Moabit 126,10115,Berlin,52.5229,13.3583501,lieferando
188,Café Old Style,5.2,3,10.0,1.99,0,30,italian,Müllerstraße 147,10115,Berlin,52.5471174,13.3569998,lieferando
189,Tucano Coffee,9.4,18,10.0,1.99,756,40,healthy,Rahel-Hirsch-Straße 10,10115,Berlin,52.5228096,13.3680145,lieferando
190,Hussel,0.0,0,10.0,2.99,699,30,breakfast/dessert,Schönhauser Allee 79,10115,Berlin,52.5494582,13.4157815,lieferando
191,Dunkin' Donuts,7.4,59,10.0,2.99,1540,40,breakfast/dessert,Potsdamer Straße 2,10115,Berlin,52.5095362,13.3746744,lieferando
