,restaurant_name,avg_review_score,reviews,type_of_cuisine,address,street,zip_code,city_name,coordinates,latitude,longitude,database,opening_hours
6730,Cafe Nepomuk,,,european,Grunewaldstraße 6 Steglitz 12165 Berlin,Grunewaldstraße 6,12165.0,Steglitz,"52.45793, 13.3184",52.45793,13.3184,here_maps,Mon-Sat: 11:00 - 23:00
6731,Rothenburg-Eck,,,generic,Rothenburgstraße 41 Steglitz 12163 Berlin,Rothenburgstraße 41,12163.0,Steglitz,"52.45918, 13.31949",52.45918,13.31949,here_maps,Mon-Sun: 10:00 - 23:59
6732,Gonzales,,,italian,Hindenburgdamm 58B Lichterfelde 12203 Berlin,Hindenburgdamm 58B,12203.0,Lichterfelde,"52.44788, 13.31562",52.44788,13.31562,here_maps,Mon-Sun: 11:00 - 23:00
6733,Indian Dream,,,asian,Hindenburgdamm 57A Lichterfelde 12203 Berlin,Hindenburgdamm 57A,12203.0,Lichterfelde,"52.44625, 13.31564",52.44625,13.31564,here_maps,"Mon-Thu, Sat, Sun: 11:30 - 23:00 Fri: 17:00 - 23:00"
6734,General Post Office,,,european,Zimmermannstraße 22 Steglitz 12163 Berlin,Zimmermannstraße 22,12163.0,Steglitz,"52.46117, 13.31825",52.46117,13.31825,here_maps,Mon-Sun: 16:00 - 23:59
6735,Nirwana,,,asian,Schloßstraße 49 Steglitz 12165 Berlin,Schloßstraße 49,12165.0,Steglitz,"52.45415, 13.31716",52.45415,13.31716,here_maps,Mon-Sun: 11:00 - 12:00
6736,La Castellana,,,european,Wrangelstraße 11 Steglitz 12165 Berlin,Wrangelstraße 11,12165.0,Steglitz,"52.45565, 13.31727",52.45565,13.31727,here_maps,Mon-Sun: 12:00 - 12:00
6737,Schweizerweine,,,generic,Viktoriastraße 9 Lichterfelde 12203 Berlin,Viktoriastraße 9,12203.0,Lichterfelde,"52.44289, 13.30603",52.44289,13.30603,here_maps,Mon-Thu: 09:00 - 18:00 Fri: 09:30 - 18:00
6738,Hofcafe Betzhorn,,,generic,Am Schülerheim 6 Dahlem 14195 Berlin,Am Schülerheim 6,14195.0,Dahlem,"52.45765, 13.27942",52.45765,13.27942,here_maps,"Sat, Sun: 14:00 - 18:00"
6739,Restaurant Brentano,,,european,Brentanostraße 7 Steglitz 12163 Berlin,Brentanostraße 7,12163.0,Steglitz,"52.46617, 13.30949",52.46617,13.30949,here_maps,Tue-Sat: 16:00 - 23:30 Sun: 12:00 - 23:00
6740,Siam Park,,,asian,Breitenbachplatz 8 Dahlem 14195 Berlin,Breitenbachplatz 8,14195.0,Dahlem,"52.46734, 13.30837",52.46734,13.30837,here_maps,
6741,Guo Guo Xiang,,,asian,Breitenbachplatz 8 Dahlem 14195 Berlin,Breitenbachplatz 8,14195.0,Dahlem,"52.46734, 13.30837",52.46734,13.30837,here_maps,Mon-Sun: 11:30 - 20:30
6742,Santa Cafe,,,american,Breitenbachplatz 12 Dahlem 14195 Berlin,Breitenbachplatz 12,14195.0,Dahlem,"52.46708, 13.30781",52.46708,13.30781,here_maps,"Mon-Fri, Sun: 09:00 - 00:00 Sat: 09:00 - 01:00"
6743,Il Tramonto,,,european,Hindenburgdamm 79 Lichterfelde 12203 Berlin,Hindenburgdamm 79,12203.0,Lichterfelde,"52.44671, 13.31501",52.44671,13.31501,here_maps,
