circle_id,kmradius,Unnamed: 0,restaurant_name,avg_review_score,reviews,minimum_order_value,delivery_fee,pricyness,avg_delivery_time,type_of_cuisine,address,street,zip_code,city_name,coordinates,latitude,longitude,database,distance_to_circle_center
28,2,1297,Go!Fish - Spandauer Strasse,7.0,,10.0,,1.0,45.0,seafood,"This is a virtual venue, 10178.0, Berlin",This is a virtual venue,10178.0,Berlin,"52.5206084,13.404795",52.5206084,13.404795,wolt,2.0475486013294444
28,2,1299,Subway Behrenstrasse,7.8,,10.0,,2.0,45.0,fastfood,"Behrenstrasse 47, 10117.0, Berlin",Behrenstrasse 47,10117.0,Berlin,"52.51580522932664,13.38987548836371",52.51580522932664,13.38987548836371,wolt,1.5896269132190273
28,2,1301,mama trattoria,7.8,,10.0,,2.0,40.0,european,"Pariser Platz 6a, 10117.0, Berlin",Pariser Platz 6a,10117.0,Berlin,"52.516929596762495,13.377739214551184",52.516929596762495,13.377739214551184,wolt,2.140400554024635
28,2,1304,Five Rivers,8.8,,10.0,,2.0,55.0,asian,"Albrechtstraße 11, 10117.0, Berlin",Albrechtstraße 11,10117.0,Berlin,"52.5214627,13.3848372",52.5214627,13.3848372,wolt,2.3031237503591377
28,2,1305,Ferrarino Pizza,8.6,,10.0,,2.0,35.0,italian,"Garnisonkirchpl. 2, 10178.0, Berlin",Garnisonkirchpl. 2,10178.0,Berlin,"52.52182999999999,13.40174",52.52182999999999,13.40174,wolt,2.1514392989170936
28,2,1307,Hauptstadtburger,7.6,,10.0,,2.0,35.0,american,"Leipziger Pl. 12, 10117.0, Berlin",Leipziger Pl. 12,10117.0,Berlin,"52.5102491,13.3799541",52.5102491,13.3799541,wolt,1.5344156691376778
28,2,1308,Burgerzimmer X,7.8,,10.0,,2.0,55.0,american,"Heinrich-Heine-Straße 36, 10179.0, Berlin",Heinrich-Heine-Straße 36,10179.0,Berlin,"52.5057895,13.4121294",52.5057895,13.4121294,wolt,0.9768421873122367
28,2,1309,Caphe HOA,9.4,,10.0,,2.0,55.0,vegetarian or vegan,"Stallschreiberstrasse 15, 10179.0, Berlin",Stallschreiberstrasse 15,10179.0,Berlin,"52.5064966,13.4082134",52.5064966,13.4082134,wolt,0.7769550617598572
28,2,1311,Pizza Point Zimmerstr.,8.4,,10.0,,1.0,35.0,italian,"Zimmerstraße 10, 10969.0, Berlin",Zimmerstraße 10,10969.0,Berlin,"52.5073228,13.3878867",52.5073228,13.3878867,wolt,0.9061447379163078
28,2,1312,Frittenwerk Berlin Friedrichstraße,8.8,,10.0,,1.0,35.0,american,"Friedrichstraße 69, 10117.0, Berlin",Friedrichstraße 69,10117.0,Berlin,"52.51263669999999,13.3896904",52.51263669999999,13.3896904,wolt,1.2763196137083155
28,2,1314,Reisfreude,9.0,,10.0,,1.0,55.0,european,"Brückenstraße 1c, 10179.0, Berlin",Brückenstraße 1c,10179.0,Berlin,"52.51191129999999,13.4171379",52.51191129999999,13.4171379,wolt,1.6243138171185862
28,2,1317,Son Kitchen Foodtruck,8.6,,10.0,,2.0,55.0,asian,"Varian-Fry-Straße , 10785.0, Berlin",Varian-Fry-Straße ,10785.0,Berlin,"52.5088036,13.3742494",52.5088036,13.3742494,wolt,1.8011307223442612
28,2,1319,Burgermeister Potsdamer Platz,8.8,,10.0,,1.0,55.0,american,"Potsdamer Platz 1 , 10785.0, Berlin",Potsdamer Platz 1 ,10785.0,Berlin,"52.50911563386791,13.374227434253475",52.50911563386791,13.374227434253475,wolt,1.8161198267862
28,2,1320,Hayal Grill,9.2,,10.0,,2.0,50.0,steak,"Charlottenstraße 13, 10969.0, Berlin",Charlottenstraße 13,10969.0,Berlin,"52.50701122999866,13.393112483191135",52.50701122999866,13.393112483191135,wolt,0.6234825815674093
28,2,1321,Anand,8.0,,10.0,,2.0,55.0,middle eastern,"Albrechtstraße 12, 10117.0, Berlin",Albrechtstraße 12,10117.0,Berlin,"52.5211654,13.384961",52.5211654,13.384961,wolt,2.269510845318045
28,2,1322,Chupenga - Burritos & Salads Georgenstr.,8.4,,10.0,,1.0,35.0,poke,"Georgenstraße 200, 10117.0, Berlin",Georgenstraße 200,10117.0,Berlin,"52.51995687003612,13.389513147222218",52.51995687003612,13.389513147222218,wolt,2.0322369377836687
28,2,1323,Five Guys Mitte,7.8,,10.0,,2.0,55.0,american,"Alexanderpl. 2, 10178.0, Berlin",Alexanderpl. 2,10178.0,Berlin,"52.5205493482613,13.41422543051924",52.5205493482613,13.41422543051924,wolt,2.2589060748015135
28,2,1324,Brammibal's Donuts - Potsdamer Platz,9.6,,10.0,,1.0,55.0,breakfast/dessert,"Alte Potsdamer Str. 11, 10785.0, Berlin",Alte Potsdamer Str. 11,10785.0,Berlin,"52.5080051,13.3738108",52.5080051,13.3738108,wolt,1.7969232206139962
28,2,1325,Vadoli,8.2,,10.0,,2.0,55.0,european,"Oranienburger Str. 13, 10178.0, Berlin",Oranienburger Str. 13,10178.0,Berlin,"52.5238316,13.3985704",52.5238316,13.3985704,wolt,2.364522548862738
28,2,1327,Tasty Bistro,7.6,,10.0,,1.0,55.0,italian,"Rungestraße 14, 10179.0, Berlin",Rungestraße 14,10179.0,Berlin,"52.5122717,13.4182962",52.5122717,13.4182962,wolt,1.7105409960640747
28,2,1328,dean&david Quartier 205,8.0,,10.0,,2.0,35.0,healthy,"Mohrenstraße 50, 10117.0, Berlin",Mohrenstraße 50,10117.0,Berlin,"52.51226659611019,13.390251283808636",52.51226659611019,13.390251283808636,wolt,1.2219662526972446
