circle_id,spacing,Unnamed: 0,restaurant_name,avg_review_score,minimum_order_value,delivery_fee,pricyness,avg_delivery_time_clean,type_of_cuisine_categorized,street,zip_code,city_name,latitude,longitude,database
190,20,76,Jinbu Sushi,8.4,10.0,,€€,35.0,asian,Bertolt-Brecht-Platz 2,10117,Berlin,52.52243060340517,13.386233377523824,wolt
190,20,77,The Indique,7.8,10.0,,€€€,35.0,middle eastern,Ziegelstraße 29,10117,Berlin,52.52367950000001,13.3906793,wolt
190,20,83,Da Vinci Ristorante,7.6,10.0,,€€,35.0,italian,Georgenstraße 192,10117,Berlin,52.5201646,13.3913112,wolt
190,20,85,Dunkin’ Donuts Friedrichsstraße,,10.0,,€€,55.0,breakfast/dessert,Bhf. Friedrichstr Bahnhof Friedrichstraße,1011,  Berlin,52.52052444659835,13.386710500133292,wolt
190,20,94,NamPan,8.8,10.0,,€€,35.0,asian,Oranienburger Straße 66,10117,Berlin,52.52507150722472,13.391728193152892,wolt
190,20,99,Subway Behrenstrasse,7.6,10.0,,€€,35.0,fastfood,Behrenstrasse 47,10117,Berlin,52.51580522932664,13.38987548836371,wolt
190,20,102,Akito Sushi Bar,8.8,10.0,,€€,35.0,asian,Reinhardtstraße 6,1011, Berlin,52.5239124,13.3867527,wolt
190,20,103,Restaurant acht&dreissig,8.0,10.0,,€€€,35.0,european,Oranienburger Str. 38,10117,Berlin,52.5254649,13.391443,wolt
190,20,111,Pizza Peppino,,10.0,,€,35.0,european,Tucholskystraße 13,10117,Berlin,52.52339332586772,13.391764043640274,wolt
190,20,118,Pizzeria Marienkaefer,8.6,10.0,,€€,35.0,italian,Marienstraße 18 ,10117,Berlin,52.52231788904327,13.383895084656176,wolt
190,20,128,Ristorante Pizzeria Roma,8.4,10.0,,€€,50.0,italian,Friedrichstraße 129,10117,Berlin,52.52504113280851,13.387145586434125,wolt
190,20,147,PHO Noodlebar Mitte,8.2,10.0,,€€,50.0,asian,Linienstraße 134,10115,Berlin,52.52645771339539,13.387788991402266,wolt
190,20,148,momos - organic veggie dumplings,8.6,10.0,,€€,35.0,vegetarian or vegan,Chausseestr.2 ,10115,Berlin,52.52756239232951,13.3870843374352,wolt
190,20,160,Van Long,8.4,10.0,,€€,35.0,asian,Reinhardtstraße 8,10117,Berlin,52.52379697423213,13.386434408597848,wolt
190,20,164,Mizu Ramen,8.8,10.0,,€€,50.0,asian,Friedrichstraße 115,10117,Berlin,52.5268053,13.3874491,wolt
190,20,168,Haferkater Mitte,8.8,10.0,1.9,€€,,breakfast/dessert,Friedrichstraße 141 / S-Bahnhof,10117,Berlin,52.5202894,13.3869776,wolt
190,20,186,Machiavelli,8.4,10.0,,€€,50.0,european,Albrechtstr.13 Berlin,10117, Berlin,52.52130280012305,13.385180090564926,wolt
190,20,193,Little Green Rabbit Unter den Linden,8.2,10.0,1.9,€€,,healthy,Unter den Linden 21,10117,Berlin,52.5166207,13.3897757,wolt
190,20,198,Pantry,10.0,10.0,1.9,€€€€,,middle eastern,Friedrichstraße 120,10117,Berlin,52.5265902,13.3868778,wolt
190,20,203,Bombay,8.6,10.0,,€€,35.0,middle eastern,Friedrichstraße 106c,10117, Berlin,52.5232743,13.3884602,wolt
190,20,218,90°C Bubble Tea & Cafe,9.2,10.0,,€€,35.0,breakfast/dessert,Novalisstraße 1,10115,Berlin,52.52780391678912,13.389289793255063,wolt
190,20,229,Einstein Unter den Linden,8.8,10.0,1.9,€€€€,,european,Unter den Linden 42,10117,Berlin,52.5174343,13.3859139,wolt
190,20,240,Hoongy,8.6,10.0,,€€,35.0,asian,Chausseestraße 5,10115,Berlin,52.5280788,13.3872605,wolt
191,20,9,KAIMUG - Foodfactory Cube,8.2,10.0,,€€,35.0,asian,Washingtonpl. 3,10557,Berlin,52.52366857353486,13.369385654631834,wolt
191,20,21,Aloha Poke Berlin,,10.0,1.9,€€,,poke,Washingtonplatz 3,10557,Berlin,52.523606500000014,13.369197899999994,wolt
191,20,67,Campus Suite - Food Factory Cube,8.8,10.0,,€,55.0,italian,Washingtonplatz 3,10557,Berlin,52.5236065,13.3691979,wolt
191,20,132,Effe & Gold,,10.0,,€,50.0,american,Washingtonplatz 3,10557,Berlin,52.5236065,13.3691979,wolt
191,20,170,Hans im Glück Berlin Hauptbahnhof,8.2,10.0,,€€,35.0,american,Europaplatz 1,10557,Berlin,52.5254009639078,13.369513069171637,wolt
191,20,175,Weltwirtschaft am HKW,,10.0,1.9,€€,,european,John Foster Dulles Allee 10,10557,Berlin,52.51928550268709,13.364887312045054,wolt
209,20,13,Burgerzimmer X,7.8,10.0,,€€,55.0,american,Heinrich-Heine-Straße 36,10179,Berlin,52.5057895,13.4121294,wolt
209,20,26,Caphe HOA,9.4,10.0,,€€,55.0,vegetarian or vegan,Stallschreiberstrasse 15,10179,Berlin,52.5064966,13.4082134,wolt
209,20,112,Stay Green,9.4,10.0,,€,35.0,poke,Leipziger Str. 51,10117,Berlin,52.5107206,13.4016645,wolt
209,20,151,HaiCoffee,8.6,10.0,,€€,35.0,asian,Wallstraße 2,10179,Berlin,52.5111832,13.4036668,wolt
209,20,154,"YADA YADA baked potatoes,salads...and more",9.0,10.0,1.9,€€,,poke,Kommandantenstraße 71,10117,Berlin,52.5086018,13.4033065,wolt
209,20,157,Yada Yada Breakfast Club,9.0,10.0,1.9,€€,,breakfast/dessert,Köpenicker Str. 93,10179,Berlin,52.5118344,13.4134833,wolt
209,20,172,Shezan,8.6,10.0,,€€,50.0,middle eastern,Neue Roßstraße 13,10179,Berlin,52.51217999072536,13.408207427139809,wolt
209,20,195,Cana Restaurant ,9.2,10.0,,€€,35.0,middle eastern,Neue Roßstraße 11,10179,Berlin,52.512489901723086,13.408856382209862,wolt
209,20,225,Rotisserie Weingrün,9.2,10.0,,€€€€,50.0,european,Gertraudenstraße 10-12,10178,Berlin,52.51265623800703,13.402922865605952,wolt
210,20,8,Hauptstadtburger,7.6,10.0,,€€,35.0,american,Leipziger Pl. 12,10117,Berlin,52.5102491,13.3799541,wolt
210,20,10,Hummus Company,8.0,10.0,,€,35.0,middle eastern,Leipziger Platz 12,10117,Berlin,52.5102491,13.3799541,wolt
210,20,19,Sons of Mana x Royals & Rice,9.0,10.0,,€€,35.0,poke,Friedrichstraße 67,10117,Berlin,52.51261539999999,13.3905721,wolt
210,20,24,Mr Imbiss Berlin,,10.0,1.9,,,,Schützenstraße 2,10117, Berlin,52.508507041615765,13.390493204098584,wolt
210,20,36,Pizza Point Zimmerstr.,8.4,10.0,,€,35.0,italian,Zimmerstraße 10,10969,Berlin,52.5073228,13.3878867,wolt
210,20,37,Frittenwerk Berlin Friedrichstraße,8.8,10.0,,€,35.0,american,Friedrichstraße 69,10117,Berlin,52.51263669999999,13.3896904,wolt
210,20,52,Hayal Grill,9.2,10.0,,€€,50.0,steak,Charlottenstraße 13,10969,Berlin,52.50701122999866,13.393112483191135,wolt
210,20,63,VietBowl Mitte,,10.0,1.9,€€,,asian,Zimmerstraße 69,10117,Berlin,52.5080041,13.3928408,wolt
210,20,66,Listo Lounge,,10.0,1.9,€€€,,fastfood,Mohrenstraße 30,10117,Berlin,52.5121406,13.3928272,wolt
210,20,70,dean&david Quartier 205,8.0,10.0,,€€,35.0,healthy,Mohrenstraße 50,10117,Berlin,52.51226659611019,13.390251283808636,wolt
