Name,lat,lon
Luzia,52.50168,13.41828
Chaparro Cocina Mexicana,52.49818,13.42901
Maroush,52.50089,13.41882
Adana Grillhaus - Restaurant,52.49951,13.42877
Chan,52.49626,13.42139
Roses Bar - Berlin,52.50052,13.4216
Prinzipal Kreuzberg,52.50103,13.41974
Burgermeister am Kottbusser Tor,52.49946,13.41854
Blackbull Grillhouse,52.49858,13.41784
Der Wurgeengel,52.50108,13.41663
Passion - Asian Kitchen,52.50185,13.41766
Iiu Sushi Asia Food,52.5001,13.42405
Mon Restaurant,52.50303,13.41514
La Raclette,52.49571,13.42741
La Lucha,52.49617,13.42183
Ara Gemuse Kebap,52.49973,13.42699
Hasir Ocakbasi,52.50087,13.41923
Herzback,52.498997,13.41833
Morimori Ramen,52.49981,13.4242
Musashi,52.49513,13.42106
Chocolaterie Art en Chocolat Berlin,52.5024,13.41704
Mundvoll,52.50306,13.42086
Ma'Loa Poke Bowl Oranienstrasse,52.50052,13.4216
Dresden,52.50157,13.41672
Platz Doch!,52.49831,13.42534
Tenur,52.49705,13.42588
Karloff,52.49747,13.42447
Bulbul Berlin,52.49933,13.42427
Nano Kaffee Berlin,52.50088,13.41724
Bonanza Coffee Roasters,52.50386,13.42026
Com A,52.50028,13.42245
Cedar Shawarma Falafel,52.49947,13.42805
Zola,52.49606,13.42237
Shanti,52.49983,13.42503
Zur Kleinen Markthalle,52.503757,13.416169
Konyali,52.49941,13.41667
Langano,52.49659,13.41835
Tadim Lahmacun,52.4999,13.41762
Imren Grill,52.49856,13.4279
Freddy Feys Fish & Fries,52.4996,13.41605
Moksa,52.49986,13.42401
Oez Adana Grillhaus,52.49962,13.4258
Mawal,52.50145,13.41909
The Burrito Window,52.49976,13.41705
Wonder Waffel Berlin,52.50173,13.41943
Goldies,52.49983,13.42503
Vegan Snackbar 2 by Attila Hildmann,52.50047,13.41893
Soner - Sucuk Doner Berlin,52.49976,13.41705
Cassonade,52.49991,13.42382
Bao Club,52.49948,13.42826
Pizza Mois,52.49976,13.41705
Mustafa Demir's Gemuse Kebap,52.50033,13.41884
Bear Burger 2,52.49949,13.42851
The Visit Coffee Roastery,52.50075,13.41914
Bep Thoc - Asian Street Food,52.49534,13.42031
Mercosy,52.50059,13.41746
Chez Michel,52.50259,13.42004
Mirchi - Kreuzberg,52.49963,13.42483
Cu Ty,52.49898,13.42823
Cutie PIE,52.49763,13.42889
Ottorink,52.50088,13.41679
Sudblock,52.49825,13.41666
Hamburger Heaven,52.49535,13.41981
Trinkteufel,52.50206,13.42021
Bateau Ivre,52.50051,13.42256
Cevicheria,52.50129,13.41648
Cafe Morgenstern,52.49751,13.41593
Schnapphahn,52.50088,13.41724
Falafel in Berlin.De,52.49947,13.42805
Taka Fish House,52.49994,13.4179
Değirmen Ocakbaşı-Restaurant,52.49543,13.42086
Izmir Koeftecisi Konak Grill,52.49941,13.41667
